Brand,Model,Resolution (pixels),Platform,Battery Life(mAh),Built in Memory (GB),Front Camera Res (MP),Rear Camera Res (MP),Ram (GB),Base Price ($),Weight (g),Proccessor Speed(GHz),CPU Benchmark,Memory Benchmark,Disk Benchmark,Hyperlink
Nokia,3310 - 3G,320 x 240,Series 20,900,0.03,-1,2,0.064,89.99,80,0.46,1,1,1,https://www.bestbuy.ca/en-ca/product/unlocked-nokia-3310-3g-charcoal/12533827.aspx?,
BlackBerry,Curve 9360,360 x 480,Android 6.1,1000,0.512,-1,5,0.512,99.99,99,0.8,4,2,3,https://www.bestbuy.ca/en-ca/product/blackberry-curve-9360-unlocked-cellphone-in-black-certified-refurbished/12885665.aspx?,
Sky Devices,Elite 5.0L,1280 x 720,Android 8.0,2400,16,8,13,2,199.99,150,1.3,9,7,10,https://www.bestbuy.ca/en-ca/product/sky-devices-elite-5-0l-16gb-gunmetal-unlocked/13194363.aspx?,
Nokia,Nokia 1,854 x 480,Android 7.1.1,2150,8,2,5,1,129.99,131,1.1,2,6,5,https://www.bestbuy.ca/en-ca/product/nokia-1-dark-blue-unlocked/12659446.aspx?,
ASUS,ZenFone Live L1,1440 x 420,Android 8.0,3040,16,5,8,1,179.99,140,1.4,10,10,10,https://www.bestbuy.ca/en-ca/product/asus-zenfone-live-l1-black-unlocked/12910448.aspx?,
Alcatel,Pulsemix: OT-5058C,1280 x 720,Android 7.1.1,2800,16,2,8,2,125,145,1.5,4,2,5,https://www.bestbuy.ca/en-ca/product/alcatel-pulsemix-ot-5085c-5-2-lcd-16gb-black-unlocked-android-7-0-4g-lte-with-snapbak-power/13468159.aspx?,
Samsung,Galaxy S6,2560 x 1440,Android 8.0,2550,32,5,16,3,129.97,138,2.1,10,8,9,https://www.bestbuy.ca/en-ca/product/samsung-galaxy-s6-32gb-smartphone-gold-unlocked/10365952.aspx?,
Polaroid,A300 Flip,320 x 256,Android 5.8,800,0.128,0.3,-1,0.064,69.99,70,0.8,2,2,2,https://www.bestbuy.ca/en-ca/product/polaroid-a300-flip-cell-phone-black-unlocked/10750959.aspx?,
Samsung,Galaxy J3,1280 x 720,Android 6.0,2600,8,2,5,1.5,79.97,140,1.3,5,4,4,https://www.bestbuy.ca/en-ca/product/samsung-galaxy-j3-8gb-black-unlocked/11337530.aspx?,
BlackBerry,Touch 9800,360 x 480,Android 7.1.1,1300,4,-1,5,0.512,60,161,0.624,5,6,6,https://www.bestbuy.ca/en-ca/product/blackberry-torch-9800-unlocked-cellphone-in-black-certified-refurbished/12885015.aspx?,
